,0
237,alternatives
238,altérations
239,amarrent
240,ambition
241,ambitions
242,amendement
243,amendements
244,amendements-clés
245,amener
246,amené
247,amie
248,amour
249,ampleur
250,amsterdam
251,amènerait
252,amélioration
253,améliorations
254,améliore
255,améliorer
256,amélioré
257,améliorée
258,améliorés
259,américaine
260,américaines
261,amérique
262,an
263,analyse
264,analyser
265,analyses
266,ancienne
267,ancrée
268,angelilli
269,angle
270,angles
271,angélisme
272,animateur
273,annexes
274,annoncé
275,annuel
276,annuelle
277,annuels
278,annulerait
279,année
280,années
281,ans
282,ante
283,anticiper
284,antisocial
285,antérieurs
286,aparicio
287,apparaît
288,apparaître
289,apparemment
290,apparence
291,appartient
292,appel
293,appelle
294,appellent
295,appelons
296,appelé
297,applaudissements
298,applicable
299,applicables
300,application
301,appliquant
302,applique
303,appliquent
304,appliqué
305,appliquée
306,appliqués
307,apportant
308,apporte
309,apporter
310,apports
311,apporté
312,apportée
313,apportées
314,apportés
315,apprennent
316,appris
317,approbation
318,approche
319,approfondie
320,approfondissant
321,approprié
322,appropriée
323,appropriées
324,appropriés
325,approuver
326,approuvé
327,approuvées
328,approuvés
329,appréciation
330,apprécient
331,appui
332,appuie
333,appuyant
334,après
335,après-demain
336,ardeur
337,argent
338,arguments
339,ari
340,armes
341,arrivant
342,arrive
343,arrivent
344,arriver
345,arrière
346,arrêtée
347,article
348,articles
349,articulent
350,artificiel
351,asie
352,aspect
353,aspects
354,assassinée
355,assemblée
356,assentiment
357,assez
358,assimilées
359,associatif
360,associations
361,associer
362,assorti
363,assumer
364,assurent
365,assurer
366,assuré
367,astucieuses
368,attache
369,attachera
370,attaché
371,attachée
372,attaquées
373,atteigne
374,atteindre
375,atteint
376,atteinte
377,attend
378,attendant
379,attendons
380,attendre
381,attendu
382,attentats
383,attentes
384,attentif
385,attention
386,attentive
387,attentivement
388,attire
389,attirer
390,attitude
391,attribuera
392,attribuées
393,au
394,au-delà
395,aucun
396,aucune
397,audace
398,augmentation
399,augmente
400,augmenter
401,augmenterait
402,augmenté
403,augurer
404,aujourd'
405,aujourd'hui
406,auparavant
407,auprès
408,auquel
409,aura
410,auraient
411,aurais-je
412,aurait
413,aurez
414,aurions
415,aurons
416,auront
417,aussi
418,aussitôt
419,autant
420,auteur
421,autonome
422,autorisation
423,autoriser
424,autorisez-moi
425,autorisées
426,autorités
427,autour
428,autre
429,autrefois
430,autrement
431,autres
432,autriche
433,aux
434,auxquelles
435,auxquels
436,avaient
437,avais
438,avait
439,avalanche
440,avance
441,avancer
442,avancé
443,avancée
444,avancées
445,avant
446,avantage
447,avançant
448,avec
449,avenir
450,avez
451,avions
452,avis
453,avocats
454,avoir
455,avons
456,avouerai
457,avéré
458,axée
459,ayant
460,açores
461,aérien
462,b
463,baisse
464,balai
465,banlieues
466,banques
467,barents
468,barnier
469,barón
470,basant
471,base
472,bases
473,basses
474,basé
475,basés
476,bateaux
477,bateliers
478,beaucoup
479,beaux
480,belges
481,belgique
482,berend
483,berlin
484,besoin
485,besoins
486,biais
487,bien
488,bien-être
489,biens
490,bientôt
491,biodiversité
492,blanc
493,bogue
494,bombe
495,bon
496,bonne
497,bonnes
498,bons
499,bord
500,bouche
501,bouleversant
502,bourlanges
503,bradbourn
504,brandebourg
505,bref
506,brefs
507,bretagne
508,britannique
509,britanniques
510,brièvement
511,brouillard
512,bruits
513,brut
514,bruxelles
515,brésil
516,budget
517,budgets
518,budgétaires
519,bureaucratie
520,bureaucratique
521,bush
522,but
523,bâtiment
524,bâtiments
525,bâtir
526,bénin
527,bénéfice
528,bénéficiant
529,bénéficie
530,bénéficient
531,bénéficié
532,c
533,c'
534,c'est
535,c'est-à-dire
536,c'était
537,c5-0004/1999
538,c5-0104/1999
539,c5-0105/1999
540,c5-0107/1999
541,c5-0120/99
542,c5-0121/1999
543,c5-0122/1999
544,c5-0208/1999
545,cadre
546,cadres
547,caisses
548,calendrier
549,camions
550,campagne
551,campagnes
552,canalisations
553,candidats
554,capable
555,capables
556,capacité
557,capacités
558,capital
559,capitaux
560,car
561,caractère
562,caractérisations
563,carences
564,cargaison
565,cargaisons
566,carte
567,cartels
568,cas
569,castro
570,catalogue
571,catastrophe
572,catastrophes
573,catégories
574,cause
575,causés
576,ce
577,ceca
578,ceci
579,cela
580,celle
581,celle-ci
582,celles
583,celles-ci
584,celui
585,celui-ci
586,cen
587,cent
588,central
589,centrale
590,centralisée
591,centralisées
592,centraux
593,centre
594,centrer
595,centres
596,cependant
597,cern
598,certain
599,certaine
600,certainement
601,certaines
602,certains
603,certes
604,certificats
605,ces
606,cessation
607,cesse
608,cessent
609,cessé
610,cet
611,cette
612,ceux
613,ceux-ci
614,chacun
615,chacune
616,chance
617,chances
618,changement
619,changements
620,changerait
621,chantiers
622,chapeau
623,chapitre
624,chaque
625,charge
626,chargement
627,charger
628,chargé
629,chargée
630,chargés
631,chaud
632,chauffeur
633,chaîne
634,chaînes
635,chef
636,chemins
637,cher
638,chercher
639,cherché
640,chers
641,chez
642,chiffre
643,chiffres
644,choix
645,chose
646,choses
647,chère
648,chômage
649,chômeurs
650,cibler
651,ciblée
652,cinq
653,cinquième
654,cinquièmes
655,circonscription
656,circonstance
657,circonstances
658,circulation
659,citadins
660,cite
661,citerai
662,citernes
663,citoyen
664,citoyens
665,cité
666,cités
667,clair
668,claire
669,clairement
670,claires
671,clairs
672,clarifie
673,clarifier
674,clarté
675,classement
676,classée
677,clause
678,client
679,clientèle
680,climat
681,climatique
682,clos
683,clouer
684,clé
685,clés
686,cocilovo
687,cod
688,code
689,codécision
690,cofinancement
691,cofinancée
692,cohérence
693,cohérente
694,cohésion
695,collaboration
696,collecte
697,collectivités
698,collège
699,collègue
700,collègues
701,com1999
702,com1999094
703,com1999344
704,combattre
705,combler
706,comitologique
707,comité
708,comme
709,commencer
710,comment
711,commentaires
712,commenter
713,commerce
714,commercialiser
715,commissaire
716,commission
717,commissions
718,commun
719,communautaire
720,communautaires
721,communauté
722,commune
723,communes
724,communication
725,communications
726,communiquer
727,communs
728,compenser
729,compensée
730,complexe
731,complexité
732,compliments
733,compliqué
734,complètement
735,complémentaires
736,complétant
737,compléter
738,comprenant
739,comprend
740,comprendre
741,compris
742,compromis
743,compréhension
744,comptabilisé
745,compte
746,comptent
747,compter
748,comptes
749,comptées
750,compétence
751,compétences
752,compétente
753,compétents
754,compétitif
755,compétitives
756,compétitivité
757,concentration
758,concentrer
759,concept
760,conception
761,conceptions
762,concernaient
763,concernant
764,concerne
765,concernent
766,concernée
767,concernées
768,concernés
769,concertation
770,concitoyennes
771,concitoyens
772,conclure
773,conclus
774,conclusion
775,conclusions
776,concret
777,concrets
778,concrètement
779,concrètes
780,concurrence
781,concurrentiel
782,condamnation
783,condamné
784,condition
785,conditions
786,conduira
787,conduisent
788,conduisons
789,conduite
790,confiance
791,confirmer
792,conforme
793,conformer
794,conformons
795,conformément
796,conforter
797,confronté
798,confrontés
799,confrères
800,confuses
801,conférence
802,conférera
803,conférées
804,congrès
805,conjoncturelle
806,connais
807,connaissance
808,connaissent
809,connaît
810,connaître
811,connues
812,consacrer
813,consacrée
814,conseil
815,conseiller
816,conseillers
817,consenti
818,conservateur
819,considère
820,considérable
821,considérablement
822,considérables
823,considérants
824,considération
825,considérer
826,considérerons
827,considérons
828,considéré
829,considérées
830,consigner
831,consignes
832,consignées
833,consiste
834,consistent
835,consister
836,consisterait
837,consolidation
838,consolider
839,consolidée
840,consommateur
841,consommateurs
842,consommation
843,constamment
844,constante
845,constat
846,constate
847,constater
848,constatons
849,constaté
850,constatés
851,constitue
852,constituent
853,constituera
854,constitutionnel
855,construction
856,constructive
857,construire
858,consultation
859,consultative
860,consulté
861,conséquence
862,conséquences
863,conséquent
864,conséquente
865,conséquents
866,conteneurs
867,contenter
868,contenterai
869,contentés
870,contenu
871,contexte
872,contient
873,continent
874,continue
875,continuent
876,continuer
877,continuera
878,continuerons
879,continueront
880,continuité
881,continuons
882,continus
883,contraire
884,contrariant
885,contre
886,contrevenu
887,contribuables
888,contribue
889,contribuent
890,contribuer
891,contribuerions
892,contribuons
893,contribution
894,contribué
895,controverses
896,controversé
897,contrôle
898,contrôler
899,convaincu
900,conventions
901,convenu
902,convenues
903,convergence
904,conviendra
905,conviendrait
906,convient
907,coopération
908,coordination
909,coordonner
910,corollaire
911,corps
912,correcte
913,correctement
914,correspond
915,correspondent
916,corriger
917,corroborer
918,couches
919,coule
920,coup
921,coupler
922,coups
923,coupé
924,cour
925,courent
926,cours
927,course
928,court
929,courte
930,couru
931,couverte
932,couvertes
933,cox
934,coïncident
935,coût
936,coûte
937,coûteuse
938,coûts
939,coûté
940,craindre
941,crespo
942,creusement
943,creusent
944,creuser
945,crimes
946,criminelle
947,critiquer
948,critiques
949,critiqué
950,critère
951,critères
952,croire
953,crois
954,croissance
955,croissant
956,croissante
957,croissent
958,croyons
959,croître
960,cruciale
961,cruel
962,créateurs
963,création
964,crédibilité
965,crédible
966,crédits
967,crée
968,créent
969,créer
970,créera
971,créons
972,créés
973,culture
974,cumul
975,cunha
976,cur
977,cycle
978,côte
979,côtes
980,côté
981,d'
982,d'abord
983,d'aborder
984,d'acceptation
985,d'accidents
986,d'accompagnement
987,d'accord
988,d'accorder
989,d'accuser
990,d'accélérer
991,d'action
992,d'actions
993,d'activité
994,d'activités
995,d'adaptation
996,d'additionnalité
997,d'additionner
998,d'adhésion
999,d'adopter
1000,d'affaiblir
1001,d'agir
1002,d'aide
1003,d'aider
1004,d'aides
1005,d'ailleurs
1006,d'ajustement
1007,d'alexandre
1008,d'alimenter
1009,d'allemagne
1010,d'aller
1011,d'alphabétisation
1012,d'amendement
1013,d'amendements
1014,d'amsterdam
1015,d'améliorer
1016,d'aménagement
1017,d'analyse
1018,d'analyser
1019,d'analyses
1020,d'animation
1021,d'annexe
1022,d'application
1023,d'appoint
1024,d'apporter
1025,d'approuver
1026,d'appui
1027,d'après
1028,d'aptitude
1029,d'armes
1030,d'assez
1031,d'assurer
1032,d'atteindre
1033,d'attendre
1034,d'attribuer
1035,d'au
1036,d'aucuns
1037,d'audace
1038,d'aujourd'hui
1039,d'autant
1040,d'autoriser
1041,d'autre
1042,d'autres
1043,d'avancer
1044,d'avion
1045,d'avis
1046,d'avoir
1047,d'elle
1048,d'emblée
1049,d'emploi
1050,d'emplois
1051,d'en
1052,d'entendre
1053,d'entente
1054,d'ententes
1055,d'entre
1056,d'entreprise
1057,d'entreprises
1058,d'envisager
1059,d'europe
1060,d'euros
1061,d'eux
1062,d'examiner
1063,d'exemple
1064,d'exercice
1065,d'exil
1066,d'existence
1067,d'experts
1068,d'explication
1069,d'exposer
1070,d'extension
1071,d'exécuter
1072,d'exécution
1073,d'harmonisation
1074,d'harmoniser
1075,d'hier
1076,d'humilité
1077,d'hygiène
1078,d'identifier
1079,d'importance
1080,d'importants
1081,d'inacceptables
1082,d'incendie
1083,d'inclure
1084,d'indicateurs
1085,d'indiquer
1086,d'information
1087,d'informations
1088,d'infraction
1089,d'infrastructures
1090,d'initiative
1091,d'initiatives
1092,d'insister
1093,d'installations
1094,d'instruments
1095,d'intervenir
1096,d'introduire
1097,d'intégrer
1098,d'intérêt
1099,d'investiture
1100,d'irresponsabilité
1101,d'objectifs
1102,d'observations
1103,d'obtenir
1104,d'octobre
1105,d'octroi
1106,d'office
1107,d'offrir
1108,d'opportunités
1109,d'ores
1110,d'organiser
1111,d'orientation
1112,d'orientations
1113,d'ouverture
1114,d'où
1115,d'un
1116,d'une
1117,d'utilisation
1118,d'utiliser
1119,d'uvre
1120,d'y
1121,d'âpres
1122,d'échange
1123,d'échanges
1124,d'écrire
1125,d'édicter
1126,d'égalité
1127,d'émettre
1128,d'énormes
1129,d'épargne
1130,d'équilibre
1131,d'état
1132,d'états
1133,d'étudier
1134,d'évacuation
1135,d'évaluation
1136,d'éviter
1137,d'évoquer
1138,d'être
1139,d'ôter
1140,dam
1141,dangereuse
1142,dangereuses
1143,dangereux
1144,danoises
1145,dans
1146,date
1147,davantage
1148,de
1149,debout
1150,degré
1151,degrés
1152,dehors
1153,delà
1154,demain
1155,demandais
1156,demande
1157,demandent
1158,demander
1159,demanderais
1160,demandes
1161,demandiez
1162,demandions
1163,demandons
1164,demandé
1165,demeurant
1166,demeurer
1167,demeurera
1168,demi
1169,demie
1170,depuis
1171,dernier
1172,derniers
1173,dernière
1174,dernièrement
1175,dernières
1176,des
1177,descend
1178,descriptive
1179,desquels
1180,dessous
1181,dessus
1182,destination
1183,destinée
1184,destinées
1185,destructions
1186,deux
1187,deuxième
1188,deuxièmement
1189,devait
1190,devant
1191,devenir
1192,devenu
1193,devenues
1194,deviendra
1195,deviennent
1196,devient
1197,devions
1198,devoir
1199,devons
1200,devra
1201,devraient
1202,devraient-ils
1203,devrait
1204,devrions
1205,devrons
1206,dialogue
1207,difficile
1208,difficiles
1209,difficultés
1210,diffère
1211,différence
1212,différences
1213,différenciations
1214,différenciée
1215,différente
1216,différentes
1217,différentiels
1218,différents
1219,dilemme
1220,diligence
1221,dimension
1222,diminuer
1223,diminuerait
1224,diminution
1225,diminué
1226,diminués
1227,diplômes
1228,dirai
1229,dirais
1230,dirais-je
1231,dire
1232,direct
1233,directement
1234,direction
1235,directive
1236,directrices
1237,dires
1238,direz
1239,dirigeants
1240,dis
1241,discipline
1242,discours
1243,discréditées
1244,discussion
1245,discuter
1246,discutons
1247,discuté
1248,dise
1249,disparaisse
1250,disparaissent
1251,disparité
1252,disparités
1253,dispersé
1254,disponibilité
1255,disponibilités
1256,disponibles
1257,disposaient
1258,disposer
1259,disposions
1260,disposition
1261,dispositions
1262,disposée
1263,disposés
1264,dissiper
1265,distances
1266,distorsions
1267,distribution
1268,distribué
1269,dit
1270,dite
1271,divergente
1272,divergentes
1273,divers
1274,diversification
1275,diversifiée
1276,diversité
1277,dix
1278,document
1279,documents
1280,doit
1281,doive
1282,doivent
1283,dollar
1284,domaine
1285,domaines
1286,dommage
1287,donc
1288,donnait
1289,donnant
1290,donne
1291,donnent
1292,donner
1293,donnerait
1294,donné
1295,donnée
1296,données
1297,dont
1298,dos
1299,dossier
1300,dotation
1301,dotera
1302,double
1303,doutant
1304,doute
1305,dramatique
1306,dramatiquement
1307,dramatiques
1308,dramatiser
1309,droit
1310,droite
1311,droits
1312,du
1313,due
1314,duisenberg
1315,duquel
1316,durabilité
1317,durable
1318,durables
1319,durant
1320,dure
1321,durement
1322,duré
1323,durée
1324,dynamiques
1325,dynamisés
1326,dès
1327,débarrasser
1328,débarrassé
1329,débat
1330,débats
1331,débattons
1332,débattre
1333,débattrons
1334,débattu
1335,débattues
1336,débouchent
1337,débouché
1338,débrancher
1339,début
1340,débutons
1341,décembre
1342,décennie
1343,décennies
1344,décent
1345,décentralisation
1346,décentralisé
1347,déchargés
1348,décide
1349,décider
1350,décidera
1351,décidé
1352,décidée
1353,décisif
1354,décision
1355,décisions
1356,déclarait
1357,déclaration
1358,déclarations
1359,déclare
1360,déclarer
1361,déclaré
1362,déclarée
1363,découle
1364,décrit
1365,déduire
1366,défaillance
1367,défaillances
1368,défaillant
1369,défaut
1370,défaveur
1371,défavorable
1372,défend
1373,défendue
1374,défense
1375,défi
1376,déficiences
1377,déficit
1378,définie
1379,définies
1380,définir
1381,définis
1382,définitif
1383,définition
1384,définitions
1385,définitive
1386,défis
1387,dégâts
1388,déjà
1389,délai
1390,délais
1391,délimitées
1392,délégation
1393,démanteler
1394,démantèlement
1395,démarche
1396,démarrage
1397,démocratiquement
1398,démographie
1399,démontre
1400,démontrent
1401,démunies
1402,dénoncent
1403,départ
1404,départements
1405,dépasser
1406,dépassé
1407,dépeignant
1408,dépendra
1409,dépense
1410,dépenses
1411,dépensés
1412,déplaçant
1413,déplore
1414,déplorer
1415,déplorons
1416,déployés
1417,déposé
1418,déposée
1419,déposés
1420,député
1421,députés
1422,dérogations
1423,dérogatoire
1424,déroule
1425,déroulent
1426,désaccord
1427,désapprouve
1428,désertification
1429,désespérément
1430,déshéritées
1431,désintégration
1432,désirent
1433,désolée
1434,désormais
1435,déséquilibres
1436,détail
1437,détailler
1438,détaillée
1439,détaillées
1440,détails
1441,détermine
1442,déterminer
1443,déterminées
1444,détient
1445,détournement
1446,détruire
1447,détruite
1448,détérioration
1449,développement
1450,développer
1451,développées
1452,développés
1453,díez
1454,dû
1455,effectif
1456,effectivement
1457,effectué
1458,effet
1459,effets
1460,efficace
1461,efficacement
1462,efficaces
1463,efficacité
1464,efforcée
1465,effort
1466,efforts
1467,effroyable
1468,effrénée
1469,elisabeth
1470,elle
1471,elle-même
1472,elles
1473,elles-mêmes
1474,emballages
1475,emploi
1476,emplois
1477,employés
1478,empruntée
1479,en
1480,encadrer
1481,enceinte
1482,encore
1483,encourageants
1484,encourager
1485,endroit
1486,enfants
1487,enfin
1488,engage
1489,engagement
1490,engageons
1491,engagé
1492,engagée
1493,engagées
1494,engendre
1495,engendrent
1496,engendrer
1497,enquête
1498,enquêtes
1499,enrayer
1500,enseignement
1501,ensemble
1502,ensuite
1503,entend
1504,entendons
1505,entendre
1506,entendrons
1507,entends
1508,entendu
1509,entier
1510,entièrement
1511,entrave
1512,entravent
1513,entraver
1514,entraves
1515,entraînent
1516,entraîner
1517,entraîneraient
1518,entraînerait
1519,entre
1520,entreprendre
1521,entrepreneur
1522,entrepreneurs
1523,entreprise
1524,entreprises
1525,entrer
1526,entres
1527,entretenir
1528,entretien
1529,entrons
1530,entrée
1531,enveloppes
1532,envie
1533,environ
1534,environnement
1535,environnementale
1536,environnementales
1537,envisage
1538,envisageables
1539,envisagent
1540,envisager
1541,envisagé
1542,envisagée
1543,envoyer
1544,envoyés
1545,erreur
1546,erronée
1547,escaliers
1548,escompté
1549,escomptés
1550,espace
1551,espagnol
1552,espoir
1553,esprit
1554,espère
1555,espérant
1556,espérons
1557,essayé
1558,essentiel
1559,essentielle
1560,essentiellement
1561,essentiels
1562,est
1563,est-ce
1564,est-elle
1565,estimaient
1566,estimant
1567,estime
1568,estimer
1569,estimeront
1570,estimons
1571,estimé
1572,et
1573,etc
1574,eu
1575,euro
1576,europe
1577,européen
1578,européenne
1579,européennes
1580,européens
1581,eux
1582,eux-mêmes
1583,evans
1584,ex
1585,exactement
1586,examen
1587,examens
1588,examine
1589,examiner
1590,examinons
1591,examiné
1592,examinée
1593,examinées
1594,excellent
1595,excellente
1596,exceptionnel
1597,exceptions
1598,excessive
1599,exclues
1600,exclus
1601,exclusif
1602,exclusion
1603,exclusivement
1604,excuse
1605,exemple
1606,exemples
1607,exercice
1608,exhaustive
1609,exige
1610,exigence
1611,exigences
1612,exigent
1613,exiger
1614,existant
1615,existante
1616,existantes
1617,existants
1618,existe
1619,existent
1620,expansion
1621,experts
1622,expirera
1623,explication
1624,explications
1625,explicite
1626,explique
1627,expliquer
1628,expliquées
1629,exploitation
1630,exploiter
1631,explosive
1632,exposer
1633,exposé
1634,expression
1635,exprimant
1636,exprime
1637,exprimer
1638,exprimé
1639,exprimée
1640,exprimées
1641,expérience
1642,expériences
1643,expérimenté
1644,extension
1645,extrême
1646,extrêmement
1647,extérieur
1648,exécutif
1649,exécuté
1650,exécutées
1651,face
1652,facile
1653,facilitent
1654,faciliter
1655,facteur
1656,facteurs
1657,faible
1658,faibles
1659,faiblesse
1660,failles
1661,failures
1662,faire
1663,fais
1664,faisant
1665,faisons
1666,faisons-nous
1667,fait
1668,fait-il
1669,faites
1670,faits
1671,fallait
1672,fantômes
1673,fardeau
1674,fasse
1675,faudra
1676,faudrait
1677,faussent
1678,faut
1679,faut-il
1680,faute
1681,faux
1682,faveur
1683,favorable
1684,favorables
1685,favorise
1686,favoriser
1687,favorisés
1688,façon
1689,femmes
1690,feoga
1691,fer
1692,ferai
1693,ferait
1694,fermeture
1695,ferons
1696,feront
1697,ferroviaire
1698,ferrées
1699,fiabilité
1700,figure
1701,fin
1702,finalement
1703,finalité
1704,financement
1705,financements
1706,financer
1707,financier
1708,financiers
1709,financière
1710,financièrement
1711,financières
1712,financé
1713,financée
1714,financés
1715,finissons
1716,finnois
1717,finnoises
1718,fiscale
1719,fiscalité
1720,fischler
1721,fixation
1722,fixer
1723,fixes
1724,fixé
1725,fixée
1726,fixés
1727,flautre
1728,flexibilisation
1729,flexibilité
1730,flotte
1731,floue
1732,flux
1733,focalisé
1734,foi
1735,fois
1736,fonction
1737,fonctionnaire
1738,fonctionnaires
1739,fonctionne
1740,fonctionnement
1741,fonctionner
1742,fond
1743,fondamental
1744,fondamentale
1745,fondamentalement
1746,fondamentales
1747,fondamentaux
1748,fondement
1749,fondements
1750,fonds
1751,fondé
1752,fondées
1753,font
1754,force
1755,forces
1756,forcément
1757,formation
1758,formations
1759,forme
1760,formel
1761,formelle
1762,formellement
1763,forment
1764,formes
1765,formidable
1766,formulation
1767,formule
1768,formuler
1769,formules
1770,formulé
1771,formulée
1772,formées
1773,formés
1774,fort
1775,forte
1776,fortement
1777,fossé
1778,fournie
1779,fournies
1780,fournir
1781,fournira
1782,fournis
1783,fournisseur
1784,fournisseurs
1785,fournit
1786,france
1787,franchement
1788,franchissement
1789,français
1790,française
1791,françaises
1792,frappées
1793,frein
1794,freiner
1795,froid
1796,froids
1797,frontières
1798,fructueux
1799,fruits
1800,fruteau
1801,fulgurant
1802,fumeurs
1803,fund
1804,fusion
1805,fusions
1806,fut
1807,futur
1808,future
1809,futures
1810,fédérale
1811,félicitations
1812,félicite
1813,féliciter
1814,février
1815,gains
1816,galles
1817,gallois
1818,garantie
1819,garanties
1820,garantir
1821,garantira
1822,garantirons
1823,garantissent
1824,garantissons
1825,gardant
1826,garde
1827,genre
1828,gens
1829,genève
1830,geste
1831,gestion
1832,gestionnaires
1833,gigantesque
1834,global
1835,globale
1836,globalement
1837,globaux
1838,goebbels
1839,gonzález
1840,gorsel
1841,gouvernement
1842,gouvernements
1843,gouverneur
1844,gracier
1845,grand
1846,grande
1847,grandement
1848,grandes
1849,grandioses
1850,grands
1851,grave
1852,gravement
1853,graves
1854,grecques
1855,grief
1856,gros
1857,grosso
1858,groupe
1859,groupes
1860,grâce
1861,grèce
1862,gré
1863,guider
1864,guillemets
1865,guise
1866,guère
1867,gèrent
1868,général
1869,générale
1870,généralement
1871,générales
1872,généraux
1873,géographique
1874,géographiques
1875,gênés
1876,habilité
1877,habitant
1878,habitants
1879,habitat
1880,habiter
1881,habitude
1882,hague
1883,handicaps
1884,handicapées
1885,handicapés
1886,harmonisation
1887,harmonise
1888,harmoniser
1889,hasard
1890,hatzidakis
1891,haut
1892,haute
1893,hauteur
1894,hedge
1895,hedkvist
1896,heure
1897,heures
1898,heureusement
1899,heureux
1900,hicks
1901,hier
1902,histoire
1903,historique
1904,historiques
1905,hoc
1906,holzmann
1907,home
1908,homme
1909,hommes
1910,horizontaux
1911,hui
1912,humain
1913,humaine
1914,humaines
1915,humains
1916,humaniste
1917,hypothèse
1918,hänsch
1919,hélas
1920,hésite
1921,hôpitaux
1922,i
1923,ici
1924,identiques
1925,idée
1926,idées
1927,idéologue
1928,ignorance
1929,ignorer
1930,il
1931,illustres
1932,illégale
1933,illégales
1934,ils
1935,imaginer
1936,immédiat
1937,immédiatement
1938,immédiats
1939,impact
1940,impatience
1941,implantant
1942,implique
1943,impliquer
1944,impliquerait
1945,impliqué
1946,importance
1947,important
1948,importante
1949,importantes
1950,importants
1951,importe
1952,imposent
1953,imposer
1954,imposé
1955,imposées
1956,imprimer
1957,imputables
1958,imputer
1959,impôt
1960,inadmissible
1961,inadmissibles
1962,incapables
1963,incendie
1964,incertaine
1965,incertitudes
1966,incidence
1967,incitent
1968,incluant
1969,inclues
1970,inclure
1971,inclus
1972,inclut
1973,incombe
1974,incompatibles
1975,inconnue
1976,incontestablement
1977,incontrôlé
1978,incrustée
1979,indicateur
1980,indicateurs
1981,indicatives
1982,indique
1983,indiquent
1984,indispensable
1985,individuelle
1986,individus
1987,indonésie
1988,indubitablement
1989,industrie
1990,industrielle
1991,industriels
1992,industries
1993,indépendance
1994,indépendantes
1995,influencer
1996,influencée
1997,information
1998,informations
1999,informer
2000,informé
2001,infrastructure
2002,infrastructures
2003,inférieures
2004,initial
2005,initiative
2006,initiatives
2007,initiée
2008,injustifiable
2009,injustifiée
2010,innocentes
2011,inquiets
2012,inquiéter
2013,inquiétés
2014,insatisfaisants
2015,inscrire
2016,insensible
2017,insistant
2018,insiste
2019,insister
2020,insistons
2021,insisté
2022,instamment
2023,instances
2024,instant
2025,instants
2026,instaurer
2027,instaurions
2028,instituant
2029,institution
2030,institutionnel
2031,institutionnelles
2032,institutions
2033,instituées
2034,instructive
2035,instrument
2036,instruments
2037,insuffisamment
2038,insuffisance
2039,insuffisances
2040,insuffisante
2041,insulaires
2042,insularité
2043,insupportable
2044,insérés
2045,intelligences
2046,intensifier
2047,intensifié
2048,intensité
2049,intention
2050,intentions
2051,interaction
2052,interentreprises
